state,action,value
sees:False;mode:Chase;distance:unknown,chase,2,033826409
sees:False;mode:Chase;distance:unknown,flee,0
sees:False;mode:Chase;distance:unknown,scatter,0
sees:False;mode:Chase;distance:unknown,random,0
sees:True;mode:Chase;distance:far,chase,2,6929000000000003
sees:True;mode:Chase;distance:far,flee,0
sees:True;mode:Chase;distance:far,scatter,0
sees:True;mode:Chase;distance:far,random,0
sees:True;mode:Chase;distance:medium,chase,3,67309
sees:True;mode:Chase;distance:medium,flee,0
sees:True;mode:Chase;distance:medium,scatter,0
sees:True;mode:Chase;distance:medium,random,0
sees:True;mode:Chase;distance:near,chase,0,9
sees:True;mode:Chase;distance:near,flee,0
sees:True;mode:Chase;distance:near,scatter,0
sees:True;mode:Chase;distance:near,random,0
sees:False;mode:Scatter;distance:unknown,chase,0
sees:False;mode:Scatter;distance:unknown,flee,0
sees:False;mode:Scatter;distance:unknown,scatter,0
sees:False;mode:Scatter;distance:unknown,random,0
